id,title,content,category
1,Black Holes,"A black hole is a region of spacetime where gravity is so strong that nothing—not even light—can escape its event horizon. The supermassive black hole at the center of the Milky Way, Sagittarius A*, has a mass roughly 4 million times that of the Sun.",Space
2,Neutron Stars,"Neutron stars are the collapsed cores of massive stars after supernova explosions. Incredibly dense, a teaspoon of neutron star material would weigh about 10 million tonnes. They can spin hundreds of times per second, emitting beams of radio waves as pulsars.",Space
3,James Webb Space Telescope,"Launched in December 2021, JWST is the most powerful space telescope ever built. Observing in infrared light, it can detect galaxies that formed just 300 million years after the Big Bang, peering back nearly 13.8 billion years.",Space
4,Speed of Light,"Light travels at approximately 299,792 km/s in a vacuum. Sunlight takes 8 minutes 20 seconds to reach Earth. Light from Proxima Centauri—our nearest stellar neighbor—takes 4.24 years to arrive.",Space
5,The Milky Way,"The Milky Way is a barred spiral galaxy hosting 100–400 billion stars. It spans about 100,000 light-years in diameter; our Solar System sits roughly 26,000 light-years from the galactic center and completes one orbit every 225 million years.",Space
6,Mars,"Mars has the tallest volcano in the Solar System—Olympus Mons at 22 km—and the longest canyon system, Valles Marineris, stretching 4,000 km. Its thin atmosphere and surface evidence of ancient riverbeds make it a prime candidate for past microbial life.",Space
7,Voyager 1,"Launched in 1977, Voyager 1 is humanity's most distant artifact, having entered interstellar space in 2012. It currently travels over 23 billion km from the Sun and still transmits data, with signals taking about 22 hours to reach Earth.",Space
8,The Big Bang,"The universe began approximately 13.8 billion years ago in an extremely hot, dense state. In the first fraction of a second it expanded exponentially. The cosmic microwave background radiation—a faint afterglow—is the strongest evidence for this event.",Space
9,Dark Matter,"Dark matter makes up about 27% of the universe but cannot be seen directly, as it does not interact with electromagnetic radiation. Its existence is inferred from gravitational effects on visible matter, such as the rotation curves of galaxies.",Space
10,Exoplanets,"Over 5,600 exoplanets have been confirmed orbiting stars beyond our Solar System. The TRAPPIST-1 system, 40 light-years away, contains seven Earth-sized rocky planets, three of which orbit in the habitable zone where liquid water could exist.",Space
11,Solar Flares,"Solar flares are bursts of radiation from the Sun's surface. The 1859 Carrington Event—the most powerful geomagnetic storm on record—disrupted telegraph networks worldwide. Modern equivalents could knock out satellites, power grids, and GPS systems.",Space
12,Saturn's Rings,"Saturn's iconic rings span up to 282,000 km in diameter but are remarkably thin—often less than 1 km deep. They consist mainly of ice particles and rocky debris ranging from tiny grains to chunks several metres across.",Space
13,The International Space Station,"The ISS orbits Earth at about 408 km altitude, traveling at 28,000 km/h and completing 16 orbits per day. Assembled from 1998 to 2011, it has hosted over 270 astronauts from 20 countries and is as long as an American football field.",Space
14,Gravitational Waves,"First directly detected in 2015 by LIGO, gravitational waves are ripples in spacetime caused by accelerating massive objects—such as merging black holes or neutron stars. They travel at the speed of light and confirmed a key prediction of Einstein's general relativity.",Space
15,The Hubble Space Telescope,"Launched in 1990, the Hubble Space Telescope has made over 1.5 million observations of more than 40,000 celestial objects. Its images helped pin down the age of the universe at 13.8 billion years and confirmed that the expansion of the universe is accelerating.",Space
16,Ancient Egypt,"Ancient Egyptian civilization flourished along the Nile for over 3,000 years. The Great Pyramid of Giza, built around 2560 BC for Pharaoh Khufu, stood as the world's tallest man-made structure for nearly 3,800 years. Hieroglyphic writing dates back to around 3200 BC.",History
17,The Roman Empire,"At its peak under Emperor Trajan in 117 AD, the Roman Empire spanned 5 million km² and ruled over 70 million people—roughly 21% of the global population. Roman engineering achievements include aqueducts, roads, and the Colosseum.",History
18,Ancient Greece,"Ancient Greece, particularly Athens in the 5th century BC, is considered the birthplace of democracy, philosophy, and the Olympic Games. Thinkers such as Socrates, Plato, and Aristotle shaped Western intellectual traditions for millennia.",History
19,The Library of Alexandria,"Founded in the 3rd century BC in Egypt, the Library of Alexandria was the largest repository of knowledge in the ancient world, holding hundreds of thousands of scrolls. It attracted scholars from across the Mediterranean world.",History
20,The Silk Road,"The Silk Road was a network of ancient trade routes connecting China to the Mediterranean from around 130 BC. It facilitated not only the exchange of silk, spices, and gold but also the spread of religions, technologies, and diseases.",History
21,The Black Death,"The Black Death (1347–1351) killed an estimated 30–60% of Europe's population—roughly 25 million people. Caused by the bacterium Yersinia pestis and spread mainly by fleas on rats, it reshaped European society, economics, and religion.",History
22,The French Revolution,"Lasting from 1789 to 1799, the French Revolution overthrew the monarchy, established a republic, and introduced Enlightenment ideals of liberty, equality, and fraternity. It led to Napoleon Bonaparte's rise and reshaped European politics.",History
23,The Industrial Revolution,"Beginning in Britain around 1760, the Industrial Revolution transformed economies from agrarian to manufacturing-based. Steam power, mechanized textile production, and railways enabled unprecedented economic growth and urbanization.",History
24,The Manhattan Project,"A top-secret US research program (1942–1945), the Manhattan Project developed the first nuclear weapons. It employed over 130,000 people and culminated in the atomic bombings of Hiroshima and Nagasaki in August 1945.",History
25,The Cold War,"The Cold War (1947–1991) was a geopolitical struggle between the United States and the Soviet Union. It involved the nuclear arms race, the Space Race, proxy wars in Korea and Vietnam, and ultimately ended with the dissolution of the USSR in 1991.",History
26,Ancient China,"China's history spans over 5,000 years. The Han Dynasty (206 BC–220 AD) established the Silk Road and saw advances in papermaking and the seismoscope. Chinese inventions including printing, gunpowder, the compass, and paper shaped the modern world.",History
27,World War I Origins,"World War I (1914–1918) began after the assassination of Archduke Franz Ferdinand in Sarajevo. Underlying causes included a network of alliances, imperial rivalries, militarism, and nationalist tensions. It killed approximately 20 million people.",History
28,The Renaissance,"The Renaissance (14th–17th centuries) was a cultural rebirth originating in Italy, marked by renewed interest in classical antiquity. Figures like Leonardo da Vinci, Michelangelo, and Galileo made breakthroughs in art, architecture, and science.",History
29,The Age of Exploration,"From the 15th century, European explorers—Columbus, Vasco da Gama, Magellan—mapped the Americas, Africa, and Asia. This era opened global trade routes and established European colonial empires, profoundly reshaping world demographics.",History
30,The Ottoman Empire,"The Ottoman Empire lasted from 1299 to 1922 and at its height controlled territory across three continents—Southeast Europe, Western Asia, and North Africa. Constantinople (modern Istanbul) became its capital after 1453.",History
31,DNA Structure,"DNA's double-helix structure was described by Watson, Crick, Franklin, and Wilkins in 1953. It encodes genetic information in sequences of four bases: adenine, thymine, guanine, and cytosine. The human genome contains approximately 3 billion base pairs.",Science
32,Theory of Relativity,"Einstein's special relativity (1905) showed that time and space are relative to the observer and that E=mc². General relativity (1915) described gravity as a curvature of spacetime caused by mass, predicting phenomena like black holes and gravitational lensing.",Science
33,Quantum Mechanics,"Developed in the early 20th century, quantum mechanics describes nature at atomic scales. Key principles include wave-particle duality, superposition, and the uncertainty principle. It underpins lasers, semiconductors, and MRI scanners.",Science
34,Penicillin,"Alexander Fleming discovered penicillin in 1928 when he noticed mold killing bacteria in a petri dish. Mass production during World War II saved millions of lives. Antibiotics remain among the most significant medical breakthroughs in history.",Science
35,Human Genome Project,"Completed in 2003, the Human Genome Project mapped all 3 billion base pairs of human DNA and identified roughly 20,000–25,000 genes. It cost about $2.7 billion; today the same sequencing costs less than $1,000.",Science
36,The Internet,"The internet evolved from ARPANET (1969), a US military network. Tim Berners-Lee invented the World Wide Web in 1989 while working at CERN, creating the first browser and web server. Today over 5 billion people are connected.",Technology
37,The Transistor,"Invented at Bell Labs in 1947 by Shockley, Bardeen, and Brattain, the transistor replaced bulky vacuum tubes. Modern microchips contain billions of transistors; the latest processors pack over 100 billion in a chip the size of a fingernail.",Technology
38,Artificial Intelligence History,"AI as a field was formally founded at the 1956 Dartmouth Conference. Early milestones include chess programs (1950s), expert systems (1980s), and deep learning breakthroughs. In 2022–2023, large language models like GPT-4 brought conversational AI to mainstream use.",Technology
39,The Printing Press,"Johannes Gutenberg's movable-type printing press (~1440) democratized knowledge by making books affordable. The Gutenberg Bible (1455) was among the first mass-produced books. The press accelerated the Renaissance and Protestant Reformation.",Technology
40,Vaccines,"Edward Jenner developed the first vaccine in 1796 using cowpox to protect against smallpox. Vaccines have eradicated smallpox (1980), nearly eliminated polio, and prevented billions of cases of measles, diphtheria, and other diseases.",Science
41,Periodic Table,"Dmitri Mendeleev published the periodic table in 1869, arranging elements by atomic mass and noting periodic patterns in their properties. The modern table has 118 confirmed elements and successfully predicted the existence of elements yet to be discovered.",Science
42,Evolution,"Charles Darwin published On the Origin of Species in 1859, introducing natural selection as the mechanism of evolution. All life on Earth shares a common ancestor; DNA evidence confirms evolutionary relationships across species.",Science
43,Plate Tectonics,"The theory of plate tectonics, formalized in the 1960s, explains how Earth's lithosphere is divided into moving plates. Their interactions cause earthquakes, volcanic eruptions, and the formation of mountain ranges over millions of years.",Science
44,CRISPR Gene Editing,"CRISPR-Cas9, developed into a practical gene-editing tool by Jennifer Doudna and Emmanuelle Charpentier in 2012 (Nobel Prize 2020), allows precise editing of DNA sequences. It has potential applications in treating genetic diseases, cancer, and improving crops.",Science
45,Climate Change,"Human greenhouse gas emissions—primarily CO2 from burning fossil fuels—are raising global average temperatures. The IPCC reports that Earth has warmed by ~1.1°C since pre-industrial times. This drives more extreme weather, sea-level rise, and ecosystem disruption.",Science
46,The Large Hadron Collider,"The LHC at CERN near Geneva is the world's largest particle accelerator, with a 27 km circular tunnel. In 2012 it confirmed the existence of the Higgs boson—the 'God particle'—which gives other particles mass.",Science
47,Quantum Computing,"Quantum computers use qubits that can exist in superpositions of 0 and 1 simultaneously. This allows them to solve certain problems exponentially faster than classical computers. In 2019, Google claimed 'quantum supremacy' for a specific task.",Technology
48,Renewable Energy,"Solar and wind energy are now the cheapest electricity sources in history. In 2023, renewables accounted for about 30% of global electricity generation. Solar panel costs have dropped by more than 90% since 2010.",Technology
49,Nanotechnology,"Nanotechnology manipulates matter at scales of 1–100 nanometres—about the width of a DNA strand. Applications include targeted drug delivery, water filtration membranes, stronger and lighter materials, and nano-scale electronics.",Technology
50,Blockchain,"A blockchain is a distributed, tamper-resistant ledger maintained by a decentralized network. Bitcoin (2009) was the first major application. Blockchain technology also underpins smart contracts, supply chain tracking, and digital identity systems.",Technology
51,Moore's Law,"Proposed by Gordon Moore in 1965, Moore's Law observed that transistor density in integrated circuits doubles roughly every two years. This trend held for decades, driving exponential growth in computing power and reducing costs.",Technology
52,3D Printing,"Also called additive manufacturing, 3D printing builds objects layer by layer from digital designs. It is used in aerospace, medicine (custom prosthetics and bioprinting), architecture, and consumer goods. The first patent was granted in 1984.",Technology
53,The Human Brain,"The human brain contains approximately 86 billion neurons, each connected to thousands of others via synapses—creating roughly 100 trillion connections. It consumes about 20% of the body's energy while accounting for only 2% of its mass.",Science
54,Photosynthesis,"Photosynthesis converts sunlight, water, and CO2 into glucose and oxygen. It supports virtually all life on Earth by forming the base of the food chain. Land plants and ocean phytoplankton together produce about 120 billion tonnes of organic matter per year.",Science
55,The Speed of Sound,"Sound travels at approximately 343 m/s in air at 20°C, but this varies with medium and temperature. It moves about 4 times faster in water and 15 times faster in steel. A sonic boom occurs when an object exceeds this speed.",Science
56,Amazon Rainforest,"The Amazon Rainforest covers about 5.5 million km² across nine South American countries, primarily Brazil. It is the world's largest tropical rainforest, houses roughly 10% of all species on Earth, and produces about 20% of the world's oxygen.",Geography
57,Mount Everest,"Mount Everest, on the Nepal–Tibet border, is Earth's highest peak at 8,848.86 m above sea level (2020 survey). It grows about 4 mm per year due to tectonic uplift. Edmund Hillary and Tenzing Norgay first summited it on 29 May 1953.",Geography
58,The Great Barrier Reef,"Located off Queensland, Australia, the Great Barrier Reef is the world's largest coral reef system, stretching 2,300 km. It hosts 1,500 species of fish, 4,000 types of mollusc, and 240 species of birds. It is visible from space.",Geography
